P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( basics | Deceptive Negative) = 1.94874792946e-05
P( basics | Deceptive Positive) = 2.87471971483e-05
P( basics | Truthful Negative) = 5.79452610434e-05
P( basics | Truthful Positive) = 2.63289539507e-05
P( wooden | Deceptive Negative) = 1.94874792946e-05
P( wooden | Deceptive Positive) = 5.74943942966e-05
P( wooden | Truthful Negative) = 3.86301740289e-05
P( wooden | Truthful Positive) = 2.63289539507e-05
P( clientele | Deceptive Negative) = 1.94874792946e-05
P( clientele | Deceptive Positive) = 2.87471971483e-05
P( clientele | Truthful Negative) = 3.86301740289e-05
P( clientele | Truthful Positive) = 2.63289539507e-05
P( tabletops | Deceptive Negative) = 3.89749585891e-05
P( tabletops | Deceptive Positive) = 2.87471971483e-05
P( tabletops | Truthful Negative) = 1.93150870145e-05
P( tabletops | Truthful Positive) = 2.63289539507e-05
P( door,and | Deceptive Negative) = 3.89749585891e-05
P( door,and | Deceptive Positive) = 2.87471971483e-05
P( door,and | Truthful Negative) = 1.93150870145e-05
P( door,and | Truthful Positive) = 2.63289539507e-05
P( succession | Deceptive Negative) = 1.94874792946e-05
P( succession | Deceptive Positive) = 2.87471971483e-05
P( succession | Truthful Negative) = 3.86301740289e-05
P( succession | Truthful Positive) = 2.63289539507e-05
P( reliable | Deceptive Negative) = 1.94874792946e-05
P( reliable | Deceptive Positive) = 5.74943942966e-05
P( reliable | Truthful Negative) = 3.86301740289e-05
P( reliable | Truthful Positive) = 2.63289539507e-05
P( specially | Deceptive Negative) = 3.89749585891e-05
P( specially | Deceptive Positive) = 2.87471971483e-05
P( specially | Truthful Negative) = 1.93150870145e-05
P( specially | Truthful Positive) = 5.26579079013e-05
P( nigh | Deceptive Negative) = 1.94874792946e-05
P( nigh | Deceptive Positive) = 2.87471971483e-05
P( nigh | Truthful Negative) = 3.86301740289e-05
P( nigh | Truthful Positive) = 2.63289539507e-05
P( tired | Deceptive Negative) = 0.000311799668713
P( tired | Deceptive Positive) = 0.000201230380038
P( tired | Truthful Negative) = 0.00017383578313
P( tired | Truthful Positive) = 0.000157973723704
P( bacon | Deceptive Negative) = 1.94874792946e-05
P( bacon | Deceptive Positive) = 2.87471971483e-05
P( bacon | Truthful Negative) = 1.93150870145e-05
P( bacon | Truthful Positive) = 0.000105315815803
P( scraper | Deceptive Negative) = 1.94874792946e-05
P( scraper | Deceptive Positive) = 5.74943942966e-05
P( scraper | Truthful Negative) = 1.93150870145e-05
P( scraper | Truthful Positive) = 2.63289539507e-05
P( elegant | Deceptive Negative) = 3.89749585891e-05
P( elegant | Deceptive Positive) = 0.00066118553441
P( elegant | Truthful Negative) = 7.72603480579e-05
P( elegant | Truthful Positive) = 0.000157973723704
P( second | Deceptive Negative) = 0.000194874792946
P( second | Deceptive Positive) = 8.62415914448e-05
P( second | Truthful Negative) = 0.000540822436405
P( second | Truthful Positive) = 0.000184302677655
P( sterile | Deceptive Negative) = 1.94874792946e-05
P( sterile | Deceptive Positive) = 2.87471971483e-05
P( sterile | Truthful Negative) = 3.86301740289e-05
P( sterile | Truthful Positive) = 2.63289539507e-05
P( lucious | Deceptive Negative) = 1.94874792946e-05
P( lucious | Deceptive Positive) = 5.74943942966e-05
P( lucious | Truthful Negative) = 1.93150870145e-05
P( lucious | Truthful Positive) = 2.63289539507e-05
P( blouse | Deceptive Negative) = 3.89749585891e-05
P( blouse | Deceptive Positive) = 2.87471971483e-05
P( blouse | Truthful Negative) = 1.93150870145e-05
P( blouse | Truthful Positive) = 2.63289539507e-05
P( errors | Deceptive Negative) = 1.94874792946e-05
P( errors | Deceptive Positive) = 2.87471971483e-05
P( errors | Truthful Negative) = 3.86301740289e-05
P( errors | Truthful Positive) = 2.63289539507e-05
P( thermos-bottled | Deceptive Negative) = 1.94874792946e-05
P( thermos-bottled | Deceptive Positive) = 2.87471971483e-05
P( thermos-bottled | Truthful Negative) = 3.86301740289e-05
P( thermos-bottled | Truthful Positive) = 2.63289539507e-05
P( thunder | Deceptive Negative) = 1.94874792946e-05
P( thunder | Deceptive Positive) = 2.87471971483e-05
P( thunder | Truthful Negative) = 3.86301740289e-05
P( thunder | Truthful Positive) = 2.63289539507e-05
P( cooking | Deceptive Negative) = 5.84624378837e-05
P( cooking | Deceptive Positive) = 5.74943942966e-05
P( cooking | Truthful Negative) = 3.86301740289e-05
P( cooking | Truthful Positive) = 7.8986861852e-05
P( contributed | Deceptive Negative) = 1.94874792946e-05
P( contributed | Deceptive Positive) = 2.87471971483e-05
P( contributed | Truthful Negative) = 3.86301740289e-05
P( contributed | Truthful Positive) = 2.63289539507e-05
P( bonuses | Deceptive Negative) = 3.89749585891e-05
P( bonuses | Deceptive Positive) = 5.74943942966e-05
P( bonuses | Truthful Negative) = 1.93150870145e-05
P( bonuses | Truthful Positive) = 2.63289539507e-05
P( specialist | Deceptive Negative) = 1.94874792946e-05
P( specialist | Deceptive Positive) = 2.87471971483e-05
P( specialist | Truthful Negative) = 3.86301740289e-05
P( specialist | Truthful Positive) = 2.63289539507e-05
P( insinuation | Deceptive Negative) = 1.94874792946e-05
P( insinuation | Deceptive Positive) = 2.87471971483e-05
P( insinuation | Truthful Negative) = 3.86301740289e-05
P( insinuation | Truthful Positive) = 2.63289539507e-05
P( error | Deceptive Negative) = 9.74373964728e-05
P( error | Deceptive Positive) = 2.87471971483e-05
P( error | Truthful Negative) = 9.65754350723e-05
P( error | Truthful Positive) = 2.63289539507e-05
P( here | Deceptive Negative) = 0.0010718113612
P( here | Deceptive Positive) = 0.00149485425171
P( here | Truthful Negative) = 0.00141000135206
P( here | Truthful Positive) = 0.00210631631605
P( reported | Deceptive Negative) = 0.000136412355062
P( reported | Deceptive Positive) = 2.87471971483e-05
P( reported | Truthful Negative) = 3.86301740289e-05
P( reported | Truthful Positive) = 5.26579079013e-05
P( china | Deceptive Negative) = 1.94874792946e-05
P( china | Deceptive Positive) = 8.62415914448e-05
P( china | Truthful Negative) = 1.93150870145e-05
P( china | Truthful Positive) = 5.26579079013e-05
P( kids | Deceptive Negative) = 0.000272824710124
P( kids | Deceptive Positive) = 0.000344966365779
P( kids | Truthful Negative) = 9.65754350723e-05
P( kids | Truthful Positive) = 0.000184302677655
P( i's | Deceptive Negative) = 1.94874792946e-05
P( i's | Deceptive Positive) = 5.74943942966e-05
P( i's | Truthful Negative) = 1.93150870145e-05
P( i's | Truthful Positive) = 2.63289539507e-05
P( k | Deceptive Negative) = 1.94874792946e-05
P( k | Deceptive Positive) = 5.74943942966e-05
P( k | Truthful Negative) = 1.93150870145e-05
P( k | Truthful Positive) = 2.63289539507e-05
P( oasis | Deceptive Negative) = 1.94874792946e-05
P( oasis | Deceptive Positive) = 2.87471971483e-05
P( oasis | Truthful Negative) = 3.86301740289e-05
P( oasis | Truthful Positive) = 2.63289539507e-05
P( i'd | Deceptive Negative) = 0.00021436227224
P( i'd | Deceptive Positive) = 0.000344966365779
P( i'd | Truthful Negative) = 0.000270411218203
P( i'd | Truthful Positive) = 0.000210631631605
P( military | Deceptive Negative) = 5.84624378837e-05
P( military | Deceptive Positive) = 2.87471971483e-05
P( military | Truthful Negative) = 1.93150870145e-05
P( military | Truthful Positive) = 2.63289539507e-05
P( i'm | Deceptive Negative) = 0.000389749585891
P( i'm | Deceptive Positive) = 0.000574943942966
P( i'm | Truthful Negative) = 0.000482877175362
P( i'm | Truthful Positive) = 0.000210631631605
P( spotty | Deceptive Negative) = 3.89749585891e-05
P( spotty | Deceptive Positive) = 2.87471971483e-05
P( spotty | Truthful Negative) = 1.93150870145e-05
P( spotty | Truthful Positive) = 2.63289539507e-05
P( cancellation | Deceptive Negative) = 7.79499171782e-05
P( cancellation | Deceptive Positive) = 2.87471971483e-05
P( cancellation | Truthful Negative) = 0.000135205609101
P( cancellation | Truthful Positive) = 2.63289539507e-05
P( cheerfully | Deceptive Negative) = 1.94874792946e-05
P( cheerfully | Deceptive Positive) = 2.87471971483e-05
P( cheerfully | Truthful Negative) = 3.86301740289e-05
P( cheerfully | Truthful Positive) = 2.63289539507e-05
P( golden | Deceptive Negative) = 1.94874792946e-05
P( golden | Deceptive Positive) = 5.74943942966e-05
P( golden | Truthful Negative) = 3.86301740289e-05
P( golden | Truthful Positive) = 5.26579079013e-05
P( qualities | Deceptive Negative) = 5.84624378837e-05
P( qualities | Deceptive Positive) = 2.87471971483e-05
P( qualities | Truthful Negative) = 1.93150870145e-05
P( qualities | Truthful Positive) = 2.63289539507e-05
P( explained | Deceptive Negative) = 9.74373964728e-05
P( explained | Deceptive Positive) = 5.74943942966e-05
P( explained | Truthful Negative) = 7.72603480579e-05
P( explained | Truthful Positive) = 2.63289539507e-05
P( off-white | Deceptive Negative) = 1.94874792946e-05
P( off-white | Deceptive Positive) = 2.87471971483e-05
P( off-white | Truthful Negative) = 3.86301740289e-05
P( off-white | Truthful Positive) = 2.63289539507e-05
P( replace | Deceptive Negative) = 5.84624378837e-05
P( replace | Deceptive Positive) = 2.87471971483e-05
P( replace | Truthful Negative) = 9.65754350723e-05
P( replace | Truthful Positive) = 5.26579079013e-05
P( brought | Deceptive Negative) = 0.000311799668713
P( brought | Deceptive Positive) = 0.00017248318289
P( brought | Truthful Negative) = 0.000193150870145
P( brought | Truthful Positive) = 0.000105315815803
P( scoffed | Deceptive Negative) = 3.89749585891e-05
P( scoffed | Deceptive Positive) = 2.87471971483e-05
P( scoffed | Truthful Negative) = 1.93150870145e-05
P( scoffed | Truthful Positive) = 2.63289539507e-05
P( unit | Deceptive Negative) = 7.79499171782e-05
P( unit | Deceptive Positive) = 5.74943942966e-05
P( unit | Truthful Negative) = 9.65754350723e-05
P( unit | Truthful Positive) = 5.26579079013e-05
P( dnd | Deceptive Negative) = 3.89749585891e-05
P( dnd | Deceptive Positive) = 2.87471971483e-05
P( dnd | Truthful Negative) = 1.93150870145e-05
P( dnd | Truthful Positive) = 2.63289539507e-05
P( dna | Deceptive Negative) = 3.89749585891e-05
P( dna | Deceptive Positive) = 2.87471971483e-05
P( dna | Truthful Negative) = 3.86301740289e-05
P( dna | Truthful Positive) = 2.63289539507e-05
P( spoke | Deceptive Negative) = 3.89749585891e-05
P( spoke | Deceptive Positive) = 2.87471971483e-05
P( spoke | Truthful Negative) = 0.00017383578313
P( spoke | Truthful Positive) = 2.63289539507e-05
P( music | Deceptive Negative) = 9.74373964728e-05
P( music | Deceptive Positive) = 0.000201230380038
P( music | Truthful Negative) = 9.65754350723e-05
P( music | Truthful Positive) = 0.000263289539507
P( therefore | Deceptive Negative) = 1.94874792946e-05
P( therefore | Deceptive Positive) = 5.74943942966e-05
P( therefore | Truthful Negative) = 5.79452610434e-05
P( therefore | Truthful Positive) = 7.8986861852e-05
P( passport | Deceptive Negative) = 1.94874792946e-05
P( passport | Deceptive Positive) = 2.87471971483e-05
P( passport | Truthful Negative) = 3.86301740289e-05
P( passport | Truthful Positive) = 2.63289539507e-05
P( strike | Deceptive Negative) = 1.94874792946e-05
P( strike | Deceptive Positive) = 2.87471971483e-05
P( strike | Truthful Negative) = 5.79452610434e-05
P( strike | Truthful Positive) = 2.63289539507e-05
P( until | Deceptive Negative) = 0.000487186982364
P( until | Deceptive Positive) = 0.00017248318289
P( until | Truthful Negative) = 0.000579452610434
P( until | Truthful Positive) = 7.8986861852e-05
P( suffocated | Deceptive Negative) = 1.94874792946e-05
P( suffocated | Deceptive Positive) = 2.87471971483e-05
P( suffocated | Truthful Negative) = 3.86301740289e-05
P( suffocated | Truthful Positive) = 2.63289539507e-05
P( holy | Deceptive Negative) = 1.94874792946e-05
P( holy | Deceptive Positive) = 2.87471971483e-05
P( holy | Truthful Negative) = 5.79452610434e-05
P( holy | Truthful Positive) = 2.63289539507e-05
P( relax | Deceptive Negative) = 0.000233849751535
P( relax | Deceptive Positive) = 0.000459955154372
P( relax | Truthful Negative) = 1.93150870145e-05
P( relax | Truthful Positive) = 7.8986861852e-05
P( brings | Deceptive Negative) = 1.94874792946e-05
P( brings | Deceptive Positive) = 2.87471971483e-05
P( brings | Truthful Negative) = 3.86301740289e-05
P( brings | Truthful Positive) = 2.63289539507e-05
P( yahoo | Deceptive Negative) = 1.94874792946e-05
P( yahoo | Deceptive Positive) = 2.87471971483e-05
P( yahoo | Truthful Negative) = 3.86301740289e-05
P( yahoo | Truthful Positive) = 2.63289539507e-05
P( hurt | Deceptive Negative) = 3.89749585891e-05
P( hurt | Deceptive Positive) = 2.87471971483e-05
P( hurt | Truthful Negative) = 3.86301740289e-05
P( hurt | Truthful Positive) = 2.63289539507e-05
P( glass | Deceptive Negative) = 7.79499171782e-05
P( glass | Deceptive Positive) = 0.000114988788593
P( glass | Truthful Negative) = 0.000154520696116
P( glass | Truthful Positive) = 7.8986861852e-05
P( midst | Deceptive Negative) = 1.94874792946e-05
P( midst | Deceptive Positive) = 5.74943942966e-05
P( midst | Truthful Negative) = 1.93150870145e-05
P( midst | Truthful Positive) = 2.63289539507e-05
P( hold | Deceptive Negative) = 7.79499171782e-05
P( hold | Deceptive Positive) = 2.87471971483e-05
P( hold | Truthful Negative) = 0.000193150870145
P( hold | Truthful Positive) = 2.63289539507e-05
P( circumstances | Deceptive Negative) = 1.94874792946e-05
P( circumstances | Deceptive Positive) = 2.87471971483e-05
P( circumstances | Truthful Negative) = 7.72603480579e-05
P( circumstances | Truthful Positive) = 2.63289539507e-05
P( demi-sofa | Deceptive Negative) = 1.94874792946e-05
P( demi-sofa | Deceptive Positive) = 2.87471971483e-05
P( demi-sofa | Truthful Negative) = 3.86301740289e-05
P( demi-sofa | Truthful Positive) = 2.63289539507e-05
P( tastefully | Deceptive Negative) = 1.94874792946e-05
P( tastefully | Deceptive Positive) = 5.74943942966e-05
P( tastefully | Truthful Negative) = 1.93150870145e-05
P( tastefully | Truthful Positive) = 0.000131644769753
P( locked | Deceptive Negative) = 3.89749585891e-05
P( locked | Deceptive Positive) = 2.87471971483e-05
P( locked | Truthful Negative) = 7.72603480579e-05
P( locked | Truthful Positive) = 2.63289539507e-05
P( accomplishment | Deceptive Negative) = 1.94874792946e-05
P( accomplishment | Deceptive Positive) = 2.87471971483e-05
P( accomplishment | Truthful Negative) = 3.86301740289e-05
P( accomplishment | Truthful Positive) = 2.63289539507e-05
P( yup | Deceptive Negative) = 3.89749585891e-05
P( yup | Deceptive Positive) = 2.87471971483e-05
P( yup | Truthful Negative) = 3.86301740289e-05
P( yup | Truthful Positive) = 2.63289539507e-05
P( example | Deceptive Negative) = 3.89749585891e-05
P( example | Deceptive Positive) = 5.74943942966e-05
P( example | Truthful Negative) = 5.79452610434e-05
P( example | Truthful Positive) = 5.26579079013e-05
P( omelets | Deceptive Negative) = 1.94874792946e-05
P( omelets | Deceptive Positive) = 2.87471971483e-05
P( omelets | Truthful Negative) = 1.93150870145e-05
P( omelets | Truthful Positive) = 5.26579079013e-05
P( wand | Deceptive Negative) = 1.94874792946e-05
P( wand | Deceptive Positive) = 2.87471971483e-05
P( wand | Truthful Negative) = 1.93150870145e-05
P( wand | Truthful Positive) = 7.8986861852e-05
P( hyatt | Deceptive Negative) = 0.000448212023775
P( hyatt | Deceptive Positive) = 0.000776174323004
P( hyatt | Truthful Negative) = 0.000405616827304
P( hyatt | Truthful Positive) = 0.000342276401359
P( organized | Deceptive Negative) = 3.89749585891e-05
P( organized | Deceptive Positive) = 8.62415914448e-05
P( organized | Truthful Negative) = 1.93150870145e-05
P( organized | Truthful Positive) = 2.63289539507e-05
P( diappointed | Deceptive Negative) = 3.89749585891e-05
P( diappointed | Deceptive Positive) = 2.87471971483e-05
P( diappointed | Truthful Negative) = 1.93150870145e-05
P( diappointed | Truthful Positive) = 2.63289539507e-05
P( reviewing | Deceptive Negative) = 1.94874792946e-05
P( reviewing | Deceptive Positive) = 2.87471971483e-05
P( reviewing | Truthful Negative) = 3.86301740289e-05
P( reviewing | Truthful Positive) = 2.63289539507e-05
P( want | Deceptive Negative) = 0.000584624378837
P( want | Deceptive Positive) = 0.000747427125855
P( want | Truthful Negative) = 0.000695343132521
P( want | Truthful Positive) = 0.000473921171112
P( absolute | Deceptive Negative) = 7.79499171782e-05
P( absolute | Deceptive Positive) = 5.74943942966e-05
P( absolute | Truthful Negative) = 3.86301740289e-05
P( absolute | Truthful Positive) = 2.63289539507e-05
P( hob | Deceptive Negative) = 3.89749585891e-05
P( hob | Deceptive Positive) = 2.87471971483e-05
P( hob | Truthful Negative) = 1.93150870145e-05
P( hob | Truthful Positive) = 2.63289539507e-05
P( groaned | Deceptive Negative) = 3.89749585891e-05
P( groaned | Deceptive Positive) = 2.87471971483e-05
P( groaned | Truthful Negative) = 1.93150870145e-05
P( groaned | Truthful Positive) = 2.63289539507e-05
P( complaining | Deceptive Negative) = 0.000136412355062
P( complaining | Deceptive Positive) = 2.87471971483e-05
P( complaining | Truthful Negative) = 5.79452610434e-05
P( complaining | Truthful Positive) = 2.63289539507e-05
P( travel | Deceptive Negative) = 0.000175387313651
P( travel | Deceptive Positive) = 0.000459955154372
P( travel | Truthful Negative) = 0.000482877175362
P( travel | Truthful Positive) = 0.000315947447408
P( feature | Deceptive Negative) = 5.84624378837e-05
P( feature | Deceptive Positive) = 8.62415914448e-05
P( feature | Truthful Negative) = 5.79452610434e-05
P( feature | Truthful Positive) = 0.000131644769753
P( revisit | Deceptive Negative) = 5.84624378837e-05
P( revisit | Deceptive Positive) = 2.87471971483e-05
P( revisit | Truthful Negative) = 1.93150870145e-05
P( revisit | Truthful Positive) = 2.63289539507e-05
P( machine | Deceptive Negative) = 7.79499171782e-05
P( machine | Deceptive Positive) = 2.87471971483e-05
P( machine | Truthful Negative) = 9.65754350723e-05
P( machine | Truthful Positive) = 7.8986861852e-05
P( how | Deceptive Negative) = 0.000818474130371
P( how | Deceptive Positive) = 0.000776174323004
P( how | Truthful Negative) = 0.000579452610434
P( how | Truthful Positive) = 0.000289618493457
P( hot | Deceptive Negative) = 0.000487186982364
P( hot | Deceptive Positive) = 8.62415914448e-05
P( hot | Truthful Negative) = 0.000463562088347
P( hot | Truthful Positive) = 0.000342276401359
P( hop | Deceptive Negative) = 5.84624378837e-05
P( hop | Deceptive Positive) = 2.87471971483e-05
P( hop | Truthful Negative) = 3.86301740289e-05
P( hop | Truthful Positive) = 5.26579079013e-05
P( pacage | Deceptive Negative) = 1.94874792946e-05
P( pacage | Deceptive Positive) = 2.87471971483e-05
P( pacage | Truthful Negative) = 1.93150870145e-05
P( pacage | Truthful Positive) = 5.26579079013e-05
P( over-sized | Deceptive Negative) = 1.94874792946e-05
P( over-sized | Deceptive Positive) = 2.87471971483e-05
P( over-sized | Truthful Negative) = 3.86301740289e-05
P( over-sized | Truthful Positive) = 2.63289539507e-05
P( beauty | Deceptive Negative) = 3.89749585891e-05
P( beauty | Deceptive Positive) = 5.74943942966e-05
P( beauty | Truthful Negative) = 1.93150870145e-05
P( beauty | Truthful Positive) = 2.63289539507e-05
P( pimps | Deceptive Negative) = 3.89749585891e-05
P( pimps | Deceptive Positive) = 2.87471971483e-05
P( pimps | Truthful Negative) = 1.93150870145e-05
P( pimps | Truthful Positive) = 2.63289539507e-05
P( wrong | Deceptive Negative) = 0.000467699503069
P( wrong | Deceptive Positive) = 8.62415914448e-05
P( wrong | Truthful Negative) = 0.000212465957159
P( wrong | Truthful Positive) = 0.000105315815803
P( beauti | Deceptive Negative) = 1.94874792946e-05
P( beauti | Deceptive Positive) = 5.74943942966e-05
P( beauti | Truthful Negative) = 1.93150870145e-05
P( beauti | Truthful Positive) = 2.63289539507e-05
P( extortion | Deceptive Negative) = 3.89749585891e-05
P( extortion | Deceptive Positive) = 2.87471971483e-05
P( extortion | Truthful Negative) = 1.93150870145e-05
P( extortion | Truthful Positive) = 2.63289539507e-05
P( types | Deceptive Negative) = 3.89749585891e-05
P( types | Deceptive Positive) = 2.87471971483e-05
P( types | Truthful Negative) = 3.86301740289e-05
P( types | Truthful Positive) = 0.000105315815803
P( headquarters | Deceptive Negative) = 3.89749585891e-05
P( headquarters | Deceptive Positive) = 2.87471971483e-05
P( headquarters | Truthful Negative) = 3.86301740289e-05
P( headquarters | Truthful Positive) = 2.63289539507e-05
P( wink | Deceptive Negative) = 1.94874792946e-05
P( wink | Deceptive Positive) = 5.74943942966e-05
P( wink | Truthful Negative) = 1.93150870145e-05
P( wink | Truthful Positive) = 2.63289539507e-05
P( shocker | Deceptive Negative) = 1.94874792946e-05
P( shocker | Deceptive Positive) = 2.87471971483e-05
P( shocker | Truthful Negative) = 3.86301740289e-05
P( shocker | Truthful Positive) = 2.63289539507e-05
P( keeps | Deceptive Negative) = 3.89749585891e-05
P( keeps | Deceptive Positive) = 2.87471971483e-05
P( keeps | Truthful Negative) = 1.93150870145e-05
P( keeps | Truthful Positive) = 5.26579079013e-05
P( nonsensical | Deceptive Negative) = 1.94874792946e-05
P( nonsensical | Deceptive Positive) = 2.87471971483e-05
P( nonsensical | Truthful Negative) = 3.86301740289e-05
P( nonsensical | Truthful Positive) = 2.63289539507e-05
P( wind | Deceptive Negative) = 1.94874792946e-05
P( wind | Deceptive Positive) = 5.74943942966e-05
P( wind | Truthful Negative) = 3.86301740289e-05
P( wind | Truthful Positive) = 2.63289539507e-05
P( wine | Deceptive Negative) = 7.79499171782e-05
P( wine | Deceptive Positive) = 0.000459955154372
P( wine | Truthful Negative) = 0.000154520696116
P( wine | Truthful Positive) = 0.000105315815803
P( feedback | Deceptive Negative) = 1.94874792946e-05
P( feedback | Deceptive Positive) = 2.87471971483e-05
P( feedback | Truthful Negative) = 3.86301740289e-05
P( feedback | Truthful Positive) = 2.63289539507e-05
P( welcomed | Deceptive Negative) = 1.94874792946e-05
P( welcomed | Deceptive Positive) = 8.62415914448e-05
P( welcomed | Truthful Negative) = 3.86301740289e-05
P( welcomed | Truthful Positive) = 7.8986861852e-05
P( murals | Deceptive Negative) = 1.94874792946e-05
P( murals | Deceptive Positive) = 2.87471971483e-05
P( murals | Truthful Negative) = 1.93150870145e-05
P( murals | Truthful Positive) = 5.26579079013e-05
P( californians | Deceptive Negative) = 3.89749585891e-05
P( californians | Deceptive Positive) = 2.87471971483e-05
P( californians | Truthful Negative) = 1.93150870145e-05
P( californians | Truthful Positive) = 2.63289539507e-05
P( fit | Deceptive Negative) = 5.84624378837e-05
P( fit | Deceptive Positive) = 0.000258724774335
P( fit | Truthful Negative) = 5.79452610434e-05
P( fit | Truthful Positive) = 2.63289539507e-05
P( screaming | Deceptive Negative) = 3.89749585891e-05
P( screaming | Deceptive Positive) = 2.87471971483e-05
P( screaming | Truthful Negative) = 3.86301740289e-05
P( screaming | Truthful Positive) = 2.63289539507e-05
P( backpack | Deceptive Negative) = 1.94874792946e-05
P( backpack | Deceptive Positive) = 2.87471971483e-05
P( backpack | Truthful Negative) = 3.86301740289e-05
P( backpack | Truthful Positive) = 5.26579079013e-05
P( rescued | Deceptive Negative) = 3.89749585891e-05
P( rescued | Deceptive Positive) = 2.87471971483e-05
P( rescued | Truthful Negative) = 1.93150870145e-05
P( rescued | Truthful Positive) = 2.63289539507e-05
P( neighborhood-i | Deceptive Negative) = 1.94874792946e-05
P( neighborhood-i | Deceptive Positive) = 2.87471971483e-05
P( neighborhood-i | Truthful Negative) = 1.93150870145e-05
P( neighborhood-i | Truthful Positive) = 5.26579079013e-05
P( hidden | Deceptive Negative) = 1.94874792946e-05
P( hidden | Deceptive Positive) = 2.87471971483e-05
P( hidden | Truthful Negative) = 3.86301740289e-05
P( hidden | Truthful Positive) = 2.63289539507e-05
P( easier | Deceptive Negative) = 1.94874792946e-05
